,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,,,,,,,,,,,,,,,Yr. to Yr.,
1,,,,,,,,,,,,,,,Percent,
2,,,,,,,,,,Yr. to Yr.,,Change,,,,
3,(Dollars in millions),,,,,,,,,Percent/Margin,,Adjusted For,,,,
4,For the nine months ended September 30,,2013,,,2012,,Change,,Currency,,,,,,
5,Revenue,,,,,,,,,,,,,,,
6,"Global
  Technology Services",,,"28,634",,,,"29,952",,,(4.4),,(1.7),,,
7,"Gross
  margin",,,37.9,,,,36.3,,,1.6,pts.,,,,
8,"Global
  Business Services",,,"13,649",,,,"13,846",,,(1.4),,2.1,,,
9,"Gross
  margin",,,30.9,,,,30.0,,,0.9,pts.,,,,
10,Software,,,"17,792",,,,"17,533",,,1.5,,2.6,,,
11,"Gross
  margin",,,88.0,,,,87.8,,,0.2,pts.,,,,
12,"Systems
  and Technology",,,"10,111",,,,"11,903",,,(15.1),,(14.3),,,
13,"Gross
  margin",,,34.4,,,,36.7,,,(2.3),pts.,,,,
14,"Global
  Financing",,,"1,488",,,,"1,478",,,0.7,,2.9,,,
15,"Gross
  margin",,,46.4,,,,47.5,,,(1.1),pts.,,,,
16,Other,,,378,,,,490,,,(22.8),,(22.3),,,
17,"Gross
  margin",,,(185.3),,,,(71.3),,,(114.0),pts.,,,,
18,"Total
  consolidated revenue",,,"72,052",,,,"75,203",,,(4.2),,(2.1),,,
19,"Total
  consolidated gross profit",,,"34,189",,,,"35,131",,,(2.7),,,,,
20,"Total
  consolidated gross margin",,,47.5,,,,46.7,,,0.7,pts.,,,,
21,"Non-operating
  adjustments",,,,,,,,,,,,,,,
22,"Amortization
  of acquired intangible assets",,,285,,,,276,,,3.3,,,,,
23,"Acquisition-
  related charges",,,4,,,,1,,,nm,,,,,
24,"Retirement-related
  costs/(income)",,,474,,,,204,,,132.9,,,,,
25,"Operating
  (non-GAAP) gross profit",,,"34,953",,,,"35,611",,,(1.9),,,,,
26,"Operating
  (non-GAAP) gross margin",,,48.5,,,,47.4,,,1.2,pts.,,,,
27,,,,,,,,,,,,,,,,
28,nm - not meaningful,,,,,,,,,,,,,,,
