,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,Lease Receivables,,Loan Receivables,,,,,,,,
1,(Dollars in millions),,Major,,Growth,,Major,,Growth,,,,,
2,"At December 31, 2012",,Markets,,Markets,,Markets,,Markets,,,,,
3,"Credit
  Rating",,,,,,,,,,,,,
4,"AAA
  – AA-",,,646,,,86,,,887,,,148,
5,"A+
  – A-",,,"1,664",,,223,,,"2,286",,,382,
6,"BBB+
  – BBB-",,,"2,285",,,776,,,"3,139",,,"1,333",
7,"BB+
  – BB",,,"1,367",,,450,,,"1,878",,,773,
8,"BB-
  – B+",,,552,,,418,,,758,,,718,
9,"B
  – B-",,,399,,,127,,,548,,,218,
10,"CCC+
  – D",,,124,,,58,,,170,,,99,
11,Total,,,"7,036",,,"2,138",,,"9,666",,,"3,670",
