,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,(Dollars in millions except per share amounts),,,,,,Acquisition-related,,,Retirement-related,,,Operating,,,,
1,"For the three months ended September 30, 2013",,GAAP,,,adjustments,,,adjustments,,,(Non-GAAP),,,,,
2,"Gross
  profit",,,"11,380",,,,102,,,,154,,,,"11,636",
3,"Gross
  profit margin",,,48.0,,,,0.4,pts.,,,0.6,pts.,,,49.1,
4,"S,G&A",,,"5,255",,,,(111),,,,(89),,,,"5,055",
5,"R,D&E",,,"1,468",,,,0,,,,(14),,,,"1,454",
6,"Other
  (income) and expense",,,(62),,,,(1),,,,0,,,,(63),
7,"Total
  expense and other (income)",,,"6,567",,,,(112),,,,(103),,,,"6,352",
8,"Pre-tax
  income",,,"4,812",,,,214,,,,257,,,,"5,284",
9,"Pre-tax
  income margin",,,20.3,,,,0.9,pts.,,,1.1,pts.,,,22.3,
10,"Provision
  for income taxes*",,,772,,,,48,,,,77,,,,897,
11,"Effective
  tax rate",,,16.0,,,,0.3,pts.,,,0.7,pts.,,,17.0,
12,"Net
  income",,,"4,041",,,,166,,,,181,,,,"4,387",
13,"Net
  income margin",,,17.0,,,,0.7,pts.,,,0.8,pts.,,,18.5,
14,"Diluted
  earnings per share",,,3.68,,,,0.15,,,,0.16,,,,3.99,
15,,,,,,,,,,,,,,,,,
16,"*  The tax impact on operating (non-GAAP) pre-tax income
  is calculated under the same accounting principles applied to the GAAP",,,,,,,,,,,,,,,,
17,"pre-tax income which employs an annual effective tax
  rate method to the results.",,,,,,,,,,,,,,,,
