,0,1,2,3,4,5,6,7,8,9,10
0,,,,,,,,,,,
1,(Dollars in millions),,Major,,Growth,,,,,,
2,"At September 30, 2013",,Markets,,Markets,,Total,,,,
3,"Financing
  receivables",,,,,,,,,,
4,"Lease
  receivables",,,"6,705",,,"2,104",,,"8,809",
5,"Loan
  receivables",,,"9,042",,,"3,830",,,"12,871",
6,"Ending
  balance",,,"15,747",,,"5,934",,,"21,681",
7,"Collectively
  evaluated for impairment",,,"15,629",,,"5,767",,,"21,395",
8,"Individually
  evaluated for impairment",,,118,,,167,,,285,
9,"Allowance
  for credit losses",,,,,,,,,,
10,"Beginning
  balance at January 1, 2013",,,,,,,,,,
11,"Lease
  receivables",,,59,,,55,,,114,
12,"Loan
  receivables",,,121,,,84,,,204,
13,Total,,,180,,,138,,,318,
14,Write-offs,,,(21),,,(9),,,(30),
15,Provision,,,(26),,,66,,,40,
16,Other,,,—,,,(4),,,(4),
17,"Ending
  balance at September 30, 2013",,,134,,,190,,,324,
18,"Lease
  receivables",,,42,,,64,,,106,
19,"Loan
  receivables",,,92,,,126,,,218,
20,,,,,,,,,,,
21,"Collectively
  evaluated for impairment",,,40,,,37,,,77,
22,"Individually
  evaluated for impairment",,,94,,,153,,,247,
23,,,,,,,,,,,
