,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"(Dollars in millions except per share
  amounts)",,,Acquisition-related,,,Retirement-related,,,Operating,,,,,,,
1,"For the nine months ended September 30, 2013",,GAAP,,,adjustments,,,adjustments,,,(Non-GAAP),,,,,
2,"Gross
  profit",,,"34,189",,,,289,,,,474,,,,"34,953",
3,"Gross
  profit margin",,,47.5,,,,0.4,pts.,,,0.7,pts.,,,48.5,
4,"S,G&A",,,"17,512",,,,(294),,,,(286),,,,"16,933",
5,"R,D&E",,,"4,661",,,,0,,,,(43),,,,"4,618",
6,"Other
  (income) and expense",,,(214),,,,(8),,,,0,,,,(222),
7,"Total
  expense and other (income)",,,"21,627",,,,(302),,,,(329),,,,"20,997",
8,"Pre-tax
  income",,,"12,562",,,,590.5,,,,803,,,,"13,956",
9,"Pre-tax
  income margin",,,17.4,,,,0.8,pts.,,,1.1,pts.,,,19.4,
10,"Provision
  for income taxes*",,,"2,263",,,,112,,,,239,,,,"2,614",
11,"Effective
  tax rate",,,18.0,,,,0.0,pts.,,,0.7,pts.,,,18.7,
12,"Net
  income",,,"10,299",,,,479,,,,564,,,,"11,342",
13,"Net
  income margin",,,14.3,,,,0.7,pts.,,,0.8,pts.,,,15.7,
14,"Diluted
  earnings per share",,,9.27,,,,0.43,,,,0.51,,,,10.21,
15,,,,,,,,,,,,,,,,,
16,"*  The tax impact on operating (non-GAAP) pre-tax income
  is calculated under the same accounting principles applied to the GAAP",,,,,,,,,,,,,,,,
17,"pre-tax income which employs an annual effective tax
  rate method to the results.",,,,,,,,,,,,,,,,
